title,runtime,parental_guide,genre,directors,stars,writers,person_id,gross_us_canada,film_id
Rear Window,1h 52m,PG,"['Mystery', 'Thriller']",['Alfred Hitchcock'],"['James Stewart', 'Grace Kelly', 'Wendell Corey']","['John Michael Hayes', 'Cornell Woolrich']","{'directors': ['0000033'], 'stars': ['0000071', '0000038', '0179819'], 'writers': ['0371088', '0941280']}","$36,764,313",0047396
Alien,1h 57m,R,"['Horror', 'Sci-Fi']",['Ridley Scott'],"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']","[""Dan O'Bannon"", 'Ronald Shusett']","{'directors': ['0000631'], 'stars': ['0000244', '0000643', '0000457'], 'writers': ['0639321', '0795953']}","$81,900,459",0078748
City Lights,1h 27m,G,"['Comedy', 'Drama', 'Romance']",['Charles Chaplin'],"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee']","['Charles Chaplin', 'Harry Carr', 'Harry Crocker']","{'directors': ['0000122'], 'stars': ['0000122', '0156039', '5681967'], 'writers': ['0000122', '0139714', '0188357']}","$19,181",0021749
Apocalypse Now,2h 27m,R,"['Drama', 'Mystery', 'War']",['Francis Ford Coppola'],"['Martin Sheen', 'Marlon Brando', 'Robert Duvall']","['John Milius', 'Francis Ford Coppola', 'Michael Herr']","{'directors': ['0000338'], 'stars': ['0000640', '0000008', '0000380'], 'writers': ['0587518', '0000338', '0380282']}","$96,042,913",0078788
Memento,1h 53m,R,"['Mystery', 'Thriller']",['Christopher Nolan'],"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']","['Christopher Nolan', 'Jonathan Nolan']","{'directors': ['0634240'], 'stars': ['0001602', '0005251', '0001592'], 'writers': ['0634240', '0634300']}","$25,544,867",0209144
Django Unchained,2h 45m,R,"['Drama', 'Western']",['Quentin Tarantino'],"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",['Quentin Tarantino'],"{'directors': ['0000233'], 'stars': ['0004937', '0910607', '0000138'], 'writers': ['0000233']}","$162,805,434",1853728
Indiana Jones and the Raiders of the Lost Ark,1h 55m,PG,"['Action', 'Adventure']",['Steven Spielberg'],"['Harrison Ford', 'Karen Allen', 'Paul Freeman']","['Lawrence Kasdan', 'George Lucas', 'Philip Kaufman']","{'directors': ['0000229'], 'stars': ['0000148', '0000261', '0293550'], 'writers': ['0001410', '0000184', '0442241']}","$248,159,971",0082971
WALL·E,1h 38m,G,"['Animation', 'Adventure', 'Family']",['Andrew Stanton'],"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']","['Andrew Stanton', 'Pete Docter', 'Jim Reardon']","{'directors': ['0004056'], 'stars': ['0123785', '2264184', '0307531'], 'writers': ['0004056', '0230032', '0714114']}","$223,808,164",0910970
The Lives of Others,2h 17m,R,"['Drama', 'Mystery', 'Thriller']",['Florian Henckel von Donnersmarck'],"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch']",['Florian Henckel von Donnersmarck'],"{'directors': ['0003697'], 'stars': ['0618057', '0311476', '0462407'], 'writers': ['0003697']}","$11,286,112",0405094
Sunset Blvd.,1h 50m,Passed,"['Drama', 'Film-Noir']",['Billy Wilder'],"['William Holden', 'Gloria Swanson', 'Erich von Stroheim']","['Charles Brackett', 'Billy Wilder', 'D.M. Marshman Jr.']","{'directors': ['0000697'], 'stars': ['0000034', '0841797', '0002233'], 'writers': ['0102818', '0000697', '0551261']}","$299,645",0043014
